1,0.000014
2,0.000022
3,0.000030
4,0.000037
5,0.000045
6,0.000052
7,0.000059
8,0.000066
9,0.000074
10,0.000082
11,0.000088
12,0.000096
13,0.000104
14,0.000110
15,0.000118
16,0.000125
17,0.000132
18,0.000140
19,0.000148
20,0.000155
21,0.000163
22,0.000169
23,0.000176
24,0.000185
25,0.000191
26,0.000199
27,0.000206
28,0.000214
29,0.000221
30,0.000229
31,0.000236
32,0.000249
33,0.000257
34,0.000264
35,0.000271
36,0.000279
37,0.000286
38,0.000293
39,0.000301
40,0.000311
41,0.000316
42,0.000324
43,0.000331
44,0.000338
45,0.000347
46,0.000354
47,0.000362
48,0.000369
49,0.000377
50,0.000385
